epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6651913523674011,0.5995000004768372,0.651816725730896,0.6184999942779541
2,0.6558992266654968,0.6100000143051147,0.6507226824760437,0.621999979019165
3,0.6523224115371704,0.6153749823570251,0.6496593952178955,0.6165000200271606
4,0.6523666381835938,0.6181250214576721,0.6512254476547241,0.6184999942779541
5,0.6520230174064636,0.6113749742507935,0.6488652229309082,0.6154999732971191
6,0.6502959728240967,0.6191250085830688,0.6496447324752808,0.6225000023841858
7,0.6516717672348022,0.6172500252723694,0.6487993597984314,0.6215000152587891
8,0.6481142044067383,0.6171249747276306,0.6474003791809082,0.6154999732971191
9,0.651451826095581,0.6151250004768372,0.6483060717582703,0.6194999814033508
10,0.6498618721961975,0.6179999709129333,0.648865818977356,0.6190000176429749
11,0.6510170102119446,0.6150000095367432,0.6484836339950562,0.6140000224113464
12,0.6501641273498535,0.6227499842643738,0.6492035388946533,0.6134999990463257
13,0.6489545702934265,0.6237499713897705,0.6486443877220154,0.6165000200271606
14,0.6484171152114868,0.6232500076293945,0.6496481895446777,0.6175000071525574
15,0.6497780084609985,0.6203749775886536,0.6481805443763733,0.6230000257492065
16,0.6486857533454895,0.6173750162124634,0.649425208568573,0.6205000281333923
17,0.6489837169647217,0.621749997138977,0.6484110951423645,0.6169999837875366
18,0.648320734500885,0.6225000023841858,0.6487862467765808,0.6159999966621399
19,0.6483514308929443,0.6256250143051147,0.6500926613807678,0.6215000152587891
20,0.6471147537231445,0.6232500076293945,0.650193452835083,0.6230000257492065
21,0.6491473913192749,0.6244999766349792,0.6475462913513184,0.621999979019165
22,0.6493498086929321,0.6259999871253967,0.6491577625274658,0.6175000071525574
23,0.6482078433036804,0.6236249804496765,0.6482921838760376,0.6179999709129333
24,0.6472257971763611,0.6226249933242798,0.6488712430000305,0.6150000095367432
25,0.6484558582305908,0.6200000047683716,0.6490089893341064,0.6225000023841858
26,0.6477945446968079,0.6187499761581421,0.6474258303642273,0.6190000176429749
27,0.6469400525093079,0.6209999918937683,0.6502664089202881,0.6194999814033508
28,0.6466917395591736,0.6209999918937683,0.6480204463005066,0.6165000200271606
29,0.6480880379676819,0.621749997138977,0.6479923129081726,0.6230000257492065
30,0.6477352380752563,0.6213750243186951,0.6485145092010498,0.6179999709129333
31,0.6459044814109802,0.6263750195503235,0.6485356688499451,0.6175000071525574
32,0.64814293384552,0.6234999895095825,0.6480987668037415,0.6200000047683716
33,0.646468460559845,0.6215000152587891,0.6478754878044128,0.6205000281333923
34,0.6477243304252625,0.6284999847412109,0.6480243802070618,0.6169999837875366
35,0.6469652652740479,0.6232500076293945,0.648695170879364,0.6205000281333923
36,0.6470599174499512,0.6263750195503235,0.6494747996330261,0.6175000071525574
37,0.6478816270828247,0.6225000023841858,0.648060142993927,0.6240000128746033
38,0.6471564769744873,0.625124990940094,0.6489887237548828,0.621999979019165
39,0.6472784280776978,0.6242499947547913,0.6486697793006897,0.6179999709129333
40,0.6453920006752014,0.6193749904632568,0.6489750742912292,0.6184999942779541
41,0.647392213344574,0.6216250061988831,0.6500378251075745,0.6234999895095825
42,0.646826982498169,0.621874988079071,0.6487808227539062,0.6159999966621399
43,0.6459053754806519,0.6228749752044678,0.6487401723861694,0.621999979019165
44,0.6455049514770508,0.6213750243186951,0.6488785147666931,0.621999979019165
45,0.6455926299095154,0.6223750114440918,0.6506601572036743,0.6209999918937683
46,0.6469029188156128,0.6256250143051147,0.647860586643219,0.6230000257492065
47,0.6457465291023254,0.6268749833106995,0.6476297378540039,0.6255000233650208
48,0.6458545327186584,0.6205000281333923,0.6491716504096985,0.6240000128746033
49,0.6457151770591736,0.6233749985694885,0.6483574509620667,0.6215000152587891
50,0.6459124088287354,0.6205000281333923,0.6499379277229309,0.6179999709129333
