fpr,tpr,threshold
0.0,0.0,inf
0.0,0.000835421888053467,0.9107402767031669
0.0,0.01670843776106934,0.8478488999669858
0.0012453300124533001,0.01670843776106934,0.8448087603549215
0.0012453300124533001,0.017543859649122806,0.8412124209575899
0.0024906600249066002,0.017543859649122806,0.8382468826587036
0.0024906600249066002,0.025898078529657476,0.8291343767324159
0.0037359900373599006,0.025898078529657476,0.826985365960882
0.0037359900373599006,0.02756892230576441,0.8249148395723424
0.0049813200498132005,0.02756892230576441,0.8242308553673281
0.0049813200498132005,0.030910609857978277,0.8142460305027681
0.0062266500622665,0.030910609857978277,0.8141617568925444
0.0062266500622665,0.03341687552213868,0.8085721735187914
0.008717310087173101,0.03341687552213868,0.8085326986636413
0.008717310087173101,0.034252297410192145,0.8011177737228052
0.0112079701120797,0.034252297410192145,0.8001908559778143
0.0112079701120797,0.04093567251461988,0.7962136865230748
0.012453300124533,0.04093567251461988,0.7961486323824915
0.012453300124533,0.04177109440267335,0.7944513774784079
0.0136986301369863,0.04177109440267335,0.7939399251808201
0.0136986301369863,0.04845446950710108,0.7876116027635489
0.014943960149439602,0.04845446950710108,0.7869024757858613
0.014943960149439602,0.055973266499582286,0.7816901195526217
0.0161892901618929,0.055973266499582286,0.7811203411660398
0.0161892901618929,0.059314954051796154,0.7801557812381855
0.0186799501867995,0.059314954051796154,0.7794807626343346
0.0186799501867995,0.06015037593984962,0.7773051762880009
0.019925280199252802,0.06015037593984962,0.7770497856639729
0.019925280199252802,0.06098579782790309,0.7763938803930444
0.021170610211706103,0.06098579782790309,0.7762296693575772
0.021170610211706103,0.06265664160401002,0.7755522666496187
0.0224159402241594,0.06265664160401002,0.7752329994388318
0.0224159402241594,0.06516290726817042,0.7728879688434966
0.0273972602739726,0.06516290726817042,0.7716636100009119
0.0273972602739726,0.06934001670843776,0.7697404188409632
0.028642590286425903,0.06934001670843776,0.7696669384931427
0.028642590286425903,0.07602339181286549,0.766730203911933
0.029887920298879204,0.07602339181286549,0.7661989026053524
0.029887920298879204,0.07769423558897243,0.765238823149852
0.033623910336239106,0.07769423558897243,0.7646064881957888
0.033623910336239106,0.07936507936507936,0.7636583207135191
0.037359900373599,0.07936507936507936,0.7623341753705297
0.037359900373599,0.08187134502923976,0.7612669189493023
0.039850560398505604,0.08187134502923976,0.7607888394738948
0.039850560398505604,0.08437761069340016,0.7603276227393445
0.0410958904109589,0.08437761069340016,0.7596295788754507
0.0410958904109589,0.08521303258145363,0.7586943912641262
0.04234122042341221,0.08521303258145363,0.7586400446974336
0.04234122042341221,0.08771929824561403,0.7581639482901886
0.043586550435865505,0.08771929824561403,0.7576694348002622
0.043586550435865505,0.09690893901420217,0.7542102488352715
0.0448318804483188,0.09690893901420217,0.75414268682304
0.0448318804483188,0.1060985797827903,0.7514740820460521
0.0460772104607721,0.1060985797827903,0.751344799220427
0.0460772104607721,0.10944026733500417,0.7502076819191958
0.049813200498132,0.10944026733500417,0.7492660659497544
0.049813200498132,0.11445279866332497,0.746920655568642
0.05105853051058531,0.11445279866332497,0.7466645698933724
0.05105853051058531,0.1161236424394319,0.7458445958577247
0.052303860523038606,0.1161236424394319,0.7453679378555832
0.052303860523038606,0.11779448621553884,0.7452707170463658
0.05603985056039851,0.11779448621553884,0.7440489202000914
0.05603985056039851,0.11862990810359231,0.7438923494878023
0.057285180572851806,0.11862990810359231,0.7437588010735533
0.057285180572851806,0.12030075187969924,0.7436953150293958
0.058530510585305104,0.12030075187969924,0.743413823639731
0.058530510585305104,0.12531328320802004,0.741951619598391
0.05977584059775841,0.12531328320802004,0.7414975516353184
0.05977584059775841,0.1261487050960735,0.7414529330718368
0.06102117061021171,0.1261487050960735,0.7413868354351077
0.06102117061021171,0.12781954887218044,0.7409841308831981
