fpr,tpr,threshold
0.0,0.0,inf
0.0,0.000835421888053467,0.8286657
0.0,0.009189640768588136,0.7954791
0.0012453300124533001,0.009189640768588136,0.7943485
0.0012453300124533001,0.017543859649122806,0.7791554
0.0024906600249066002,0.017543859649122806,0.77496207
0.0024906600249066002,0.022556390977443608,0.7681062
0.0049813200498132005,0.022556390977443608,0.76789117
0.0049813200498132005,0.02506265664160401,0.7663857
0.008717310087173101,0.02506265664160401,0.76449525
0.008717310087173101,0.025898078529657476,0.76420605
0.0112079701120797,0.025898078529657476,0.7626454
0.0112079701120797,0.026733500417710943,0.7620579
0.012453300124533,0.026733500417710943,0.75903904
0.012453300124533,0.03842940685045948,0.7518966
0.0136986301369863,0.03842940685045948,0.751378
0.0136986301369863,0.042606516290726815,0.7474247
0.014943960149439602,0.042606516290726815,0.7467164
0.014943960149439602,0.04427736006683375,0.7465458
0.0161892901618929,0.04427736006683375,0.7464441
0.0161892901618929,0.04594820384294068,0.7454784
0.0186799501867995,0.04594820384294068,0.7431359
0.0186799501867995,0.047619047619047616,0.7424757
0.019925280199252802,0.047619047619047616,0.74211895
0.019925280199252802,0.05012531328320802,0.7404405
0.021170610211706103,0.05012531328320802,0.73921835
0.021170610211706103,0.050960735171261484,0.73782045
0.0224159402241594,0.050960735171261484,0.7360625
0.0224159402241594,0.05513784461152882,0.73357236
0.023661270236612703,0.05513784461152882,0.7333926
0.023661270236612703,0.06766917293233082,0.7284554
0.024906600249066,0.06766917293233082,0.72797155
0.024906600249066,0.06934001670843776,0.727481
0.026151930261519303,0.06934001670843776,0.72718775
0.026151930261519303,0.07685881370091896,0.7237743
0.0273972602739726,0.07685881370091896,0.7234967
0.0273972602739726,0.08020050125313283,0.72177595
0.028642590286425903,0.08020050125313283,0.7211362
0.028642590286425903,0.0810359231411863,0.72047615
0.029887920298879204,0.0810359231411863,0.7204358
0.029887920298879204,0.08521303258145363,0.719303
0.031133250311332503,0.08521303258145363,0.7188456
0.031133250311332503,0.08939014202172096,0.7174537
0.033623910336239106,0.08939014202172096,0.7169461
0.033623910336239106,0.09690893901420217,0.7145481
0.034869240348692404,0.09690893901420217,0.7142923
0.034869240348692404,0.1060985797827903,0.7123178
0.0361145703611457,0.1060985797827903,0.71216494
0.0361145703611457,0.11278195488721804,0.711277
0.038605230386052306,0.11278195488721804,0.71079224
0.038605230386052306,0.11695906432748537,0.7099905
0.039850560398505604,0.11695906432748537,0.7096906
0.039850560398505604,0.12197159565580618,0.7082981
0.0410958904109589,0.12197159565580618,0.7081977
0.0410958904109589,0.12280701754385964,0.7078577
0.04234122042341221,0.12280701754385964,0.7076311
0.04234122042341221,0.12364243943191311,0.7073635
0.043586550435865505,0.12364243943191311,0.7066207
0.043586550435865505,0.1261487050960735,0.7058912
0.0460772104607721,0.1261487050960735,0.705527
0.0460772104607721,0.12781954887218044,0.7051846
0.047322540473225407,0.12781954887218044,0.7049055
0.047322540473225407,0.13032581453634084,0.7042419
0.048567870485678705,0.13032581453634084,0.70397395
0.048567870485678705,0.1311612364243943,0.70382607
0.049813200498132,0.1311612364243943,0.70353055
0.049813200498132,0.13700918964076858,0.7023464
0.05105853051058531,0.13700918964076858,0.70150167
0.05105853051058531,0.13951545530492898,0.7007815
0.052303860523038606,0.13951545530492898,0.7007276
