feature,importance
feature_7,0.2128351685264636
feature_8,0.21054878799387686
feature_6,0.10937158257596745
feature_1,0.10863320245154427
feature_0,0.10557867455464938
feature_2,0.10178961957283517
feature_3,0.07922015679661748
feature_4,0.07202280752804571
feature_5,0.0
